WEEK_NO;YEAR;FYTD%;DELIN_PMS;COMP_4WKAVG%;COMP%;COMP_4KTGT%
Week 43;2020;59.8;1,737;52;92;85
Week 2;2021;62.3;1,226;52.7;92;85
Week 37;2020;56.7;2,214;41.5;90;85
Week 7;2021;64;976;66.3;92;85
Week 32;2020;56.93;2,424;39.08;88;85
Week 18;2020;44.18;2,153;44.27;71;85
Week 40;2020;58.5;1,914;47.6;90;85
Week 16;2020;31.66;3,304;28.39;61;85
Week 20;2020;48.75;2,327;45.03;72;85
Week 28;2020;57.22;2,007;47.07;88;85
Week 31;2020;57.33;2,319;43.68;88;85
Week 51;2020;62.4;1,331;60.8;94;85
Week 23;2020;54.27;2,143;49.12;81;85
Week 38;2020;58.5;1,878;45.8;90;85
Week 49;2020;61.8;1,455;56.9;92;85
Week 17;2020;40.28;2,358;32.84;66;85
Week 19;2020;46.52;2,411;44.72;71;85
Week 21;2020;50.17;2,187;45.37;77;85
Week 29;2020;58.28;1,818;49.75;90;85
Week 4;2021;64;1,163;61.6;93;85
Week 22;2020;52.77;2,056;47.9;80;85
Week 41;2020;58.7;2,181;46;91;85
Week 24;2020;54.86;2,036;48.46;84;85
Week 52;2020;62.4;1,485;56.6;89;85
Week 6;2021;64;1,018;63.6;91;85
Week 48;2020;61.3;1,467;56.2;94;85
Week 53;2020;62.4;1,464;52.8;89;85
Week 45;2020;60.5;1,715;54.3;92;85
Week 5;2021;64;1,069;65.7;95;85
Week 35;2020;56.6;2,450;39.1;90;85
Week 39;2020;59.1;2,016;49.5;90;85
Week 50;2020;61.9;1,420;58.5;93;85
Week 27;2020;57.33;1,812;49.54;87;85
Week 47;2020;61;1,590;54.3;93;85
Week 33;2020;56.6;2,358;42.6;89;85
Week 1;2021;62.3;1,315;52.5;91;85
Week 30;2020;57.78;2,120;46.4;89;85
Week 44;2020;60.2;1,664;53.1;93;85
Week 25;2020;55.73;2,019;49.74;85;85
Week 3;2021;63.7;1,256;57.6;92;85
Week 42;2020;59.3;1,877;50.2;91;85
Week 26;2020;56.89;1,946;50.56;87;85
Week 46;2020;60.6;1,642;54.4;93;85
Week 34;2020;56.61;2,385;39;89;85
Week 36;2020;56.7;2,284;39.9;90;85
